frame_index,exercise,rep_id,is_form_ok,angles
63,squat,0,True,"{'knee': np.float64(158.77897472625932), 'elbow': np.float64(119.27938757543565)}"
64,squat,0,True,"{'knee': np.float64(156.11172155724097), 'elbow': np.float64(88.63319874213515)}"
65,pushup,1,True,"{'knee': np.float64(161.27459610418654), 'elbow': np.float64(145.95582215264935)}"
66,squat,0,True,"{'knee': np.float64(159.3888464806736), 'elbow': np.float64(171.21405572011383)}"
67,squat,0,True,"{'knee': np.float64(156.32672283900854), 'elbow': np.float64(175.2755483028291)}"
68,squat,0,True,"{'knee': np.float64(151.26566576536155), 'elbow': np.float64(178.5405506450077)}"
69,squat,0,True,"{'knee': np.float64(153.32053292797775), 'elbow': np.float64(179.9861061847658)}"
70,squat,0,True,"{'knee': np.float64(158.41714088517796), 'elbow': np.float64(162.41749228822636)}"
71,squat,0,True,"{'knee': np.float64(158.60715384917805), 'elbow': np.float64(164.8241616723666)}"
72,none,0,True,"{'knee': np.float64(161.1644456809913), 'elbow': np.float64(171.53171256285276)}"
73,none,0,True,"{'knee': np.float64(161.80950482447827), 'elbow': np.float64(175.39980665497606)}"
74,none,0,True,"{'knee': np.float64(165.0785257180546), 'elbow': np.float64(177.16928728711974)}"
75,none,0,True,"{'knee': np.float64(162.5406117995457), 'elbow': np.float64(177.80234459460195)}"
76,none,0,True,"{'knee': np.float64(164.55064779578709), 'elbow': np.float64(178.53961636058173)}"
77,none,0,True,"{'knee': np.float64(164.73207522728146), 'elbow': np.float64(179.21530418464053)}"
78,none,0,True,"{'knee': np.float64(170.25635871296282), 'elbow': np.float64(179.37040592802202)}"
79,none,0,True,"{'knee': np.float64(162.4804133777594), 'elbow': np.float64(179.36575528557387)}"
80,squat,0,True,"{'knee': np.float64(155.34130337885733), 'elbow': np.float64(179.3540109126466)}"
81,none,0,True,"{'knee': np.float64(163.58314403614273), 'elbow': np.float64(179.57069270135742)}"
82,none,0,True,"{'knee': np.float64(168.84981549792732), 'elbow': np.float64(179.7830736727134)}"
83,none,0,True,"{'knee': np.float64(170.2175929681927), 'elbow': np.float64(179.02912431220673)}"
84,none,0,True,"{'knee': np.float64(171.72547254113957), 'elbow': np.float64(178.52198967321112)}"
85,none,0,True,"{'knee': np.float64(176.77992381383882), 'elbow': np.float64(178.82126856062803)}"
86,none,0,True,"{'knee': np.float64(177.71446352323085), 'elbow': np.float64(178.66857628142603)}"
87,none,0,True,"{'knee': np.float64(179.16290593253765), 'elbow': np.float64(178.67661973354348)}"
88,none,0,True,"{'knee': np.float64(178.0891726436086), 'elbow': np.float64(178.86394502140362)}"
89,none,0,True,"{'knee': np.float64(173.91556591238287), 'elbow': np.float64(178.86310830974782)}"
90,none,0,True,"{'knee': np.float64(175.58952786008962), 'elbow': np.float64(179.02773246418678)}"
91,none,0,True,"{'knee': np.float64(177.74495824699005), 'elbow': np.float64(179.03333592775303)}"
92,none,0,True,"{'knee': np.float64(177.26772975877128), 'elbow': np.float64(179.66327404184887)}"
93,none,0,True,"{'knee': np.float64(177.90812279852184), 'elbow': np.float64(179.98443381044115)}"
94,none,0,True,"{'knee': np.float64(176.8173238747977), 'elbow': np.float64(179.49213153093115)}"
95,none,0,True,"{'knee': np.float64(169.64616185483433), 'elbow': np.float64(179.94850628031287)}"
96,none,0,True,"{'knee': np.float64(170.88145751108502), 'elbow': np.float64(179.75332301452534)}"
97,none,0,True,"{'knee': np.float64(173.74894194734313), 'elbow': np.float64(179.55527993213116)}"
98,none,0,True,"{'knee': np.float64(176.2862009629845), 'elbow': np.float64(179.56211747104462)}"
99,none,0,True,"{'knee': np.float64(179.64016826230733), 'elbow': np.float64(179.2359114480941)}"
100,none,0,True,"{'knee': np.float64(178.05851360908565), 'elbow': np.float64(179.10435580251158)}"
101,none,0,True,"{'knee': np.float64(175.40372377458775), 'elbow': np.float64(179.92129148267594)}"
102,none,0,True,"{'knee': np.float64(175.0926074948), 'elbow': np.float64(179.78302483932586)}"
103,none,0,True,"{'knee': np.float64(175.74068361584642), 'elbow': np.float64(179.9272845323609)}"
104,none,0,True,"{'knee': np.float64(173.45304631662833), 'elbow': np.float64(179.92650517611898)}"
105,none,0,True,"{'knee': np.float64(170.0893451686026), 'elbow': np.float64(179.6371979071689)}"
106,none,0,True,"{'knee': np.float64(171.38474135401466), 'elbow': np.float64(179.63607032154155)}"
107,none,0,True,"{'knee': np.float64(173.33837495080587), 'elbow': np.float64(179.64795406700517)}"
108,none,0,True,"{'knee': np.float64(174.36749346895283), 'elbow': np.float64(179.866515600037)}"
109,none,0,True,"{'knee': np.float64(174.7142931026013), 'elbow': np.float64(179.08715955228195)}"
110,none,0,True,"{'knee': np.float64(175.3999043337367), 'elbow': np.float64(179.53941191328596)}"
111,none,0,True,"{'knee': np.float64(174.2690747911348), 'elbow': np.float64(179.06429592365797)}"
112,none,0,True,"{'knee': np.float64(175.77577458511144), 'elbow': np.float64(179.2145235415599)}"
113,none,0,True,"{'knee': np.float64(173.79130369717484), 'elbow': np.float64(179.0438726465967)}"
114,none,0,True,"{'knee': np.float64(167.43478320052807), 'elbow': np.float64(178.72535900239896)}"
115,none,0,True,"{'knee': np.float64(173.19777336005794), 'elbow': np.float64(178.17740792201073)}"
116,none,0,True,"{'knee': np.float64(166.7183832143415), 'elbow': np.float64(176.06439720379524)}"
117,none,0,True,"{'knee': np.float64(164.8426863149887), 'elbow': np.float64(176.62562517383336)}"
118,none,0,True,"{'knee': np.float64(170.1467131169999), 'elbow': np.float64(175.85948112611567)}"
119,none,0,True,"{'knee': np.float64(175.76754683089925), 'elbow': np.float64(175.8921979326437)}"
120,none,0,True,"{'knee': np.float64(176.34424702645632), 'elbow': np.float64(179.25159111169228)}"
121,none,0,True,"{'knee': np.float64(174.12383834550374), 'elbow': np.float64(177.97838515170605)}"
122,none,0,True,"{'knee': np.float64(174.16525519912207), 'elbow': np.float64(176.4438703552179)}"
123,none,0,True,"{'knee': np.float64(161.2215386596394), 'elbow': np.float64(175.01858207095742)}"
124,none,0,True,"{'knee': np.float64(171.75718478236254), 'elbow': np.float64(172.77568430595468)}"
125,none,0,True,"{'knee': np.float64(176.41669156755134), 'elbow': np.float64(171.2277603730064)}"
126,none,0,True,"{'knee': np.float64(175.37828021341448), 'elbow': np.float64(167.56973677487997)}"
127,pushup,1,True,"{'knee': np.float64(178.29471399787275), 'elbow': np.float64(159.0548453396157)}"
128,none,0,True,"{'knee': np.float64(175.88702843455204), 'elbow': np.float64(166.00892382985992)}"
